No,year,month,day,hour,Speed,Temperature
0,2016,4,1,1,1.1137,11.8672
1,2016,4,1,2,1.501,12.6162
2,2016,4,1,3,1.6554,12.348
3,2016,4,1,4,0.7201,11.8297
4,2016,4,1,5,0.843,11.5002
5,2016,4,1,6,0.4287,10.8712
6,2016,4,1,7,0.3569,14.0635
7,2016,4,1,8,1.3779,17.2233
8,2016,4,1,9,1.8549,18.5318
9,2016,4,1,10,1.5161,20.429
10,2016,4,1,11,3.137,19.34
11,2016,4,1,12,3.7763,18.2563
12,2016,4,1,13,3.4711,18.5928
13,2016,4,1,14,3.6387,18.3235
14,2016,4,1,15,2.8914,18.8302
15,2016,4,1,16,2.5083,19.0883
16,2016,4,1,17,2.3275,18.645
17,2016,4,1,18,2.299,17.11
18,2016,4,1,19,1.5496,15.7208
19,2016,4,1,20,1.611,14.9603
20,2016,4,1,21,1.2722,14.8817
21,2016,4,1,22,0.9501,13.9922
22,2016,4,1,23,0,12.8368
23,2016,4,2,0,0,12.1215
24,2016,4,2,1,0.0018,12.0337
25,2016,4,2,2,0,11.9188
26,2016,4,2,3,0,11.6722
27,2016,4,2,4,0,11.6793
28,2016,4,2,5,0.1893,11.2107
29,2016,4,2,6,0.0057,11.3205
30,2016,4,2,7,0.7713,13.9507
31,2016,4,2,8,1.3843,17.099
32,2016,4,2,9,1.1707,19.4603
33,2016,4,2,10,2.0151,20.147
34,2016,4,2,11,2.3112,19.5672
35,2016,4,2,12,2.4526,19.1452
36,2016,4,2,13,2.6565,19.6982
37,2016,4,2,14,2.5063,20.5763
38,2016,4,2,15,2.5565,20.5223
39,2016,4,2,16,2.8258,19.9037
40,2016,4,2,17,2.5875,19.3508
41,2016,4,2,18,2.5955,17.8243
42,2016,4,2,19,2.1574,16.0085
43,2016,4,2,20,1.4757,15.7035
44,2016,4,2,21,0.9729,15.6897
45,2016,4,2,22,1.0181,14.5662
46,2016,4,2,23,1.2299,14.2125
47,2016,4,3,0,0.9779,13.5017
48,2016,4,3,1,0.6084,13.1035
49,2016,4,3,2,0.2614,12.5282
50,2016,4,3,3,0,12.2825
51,2016,4,3,4,0.253,12.1673
52,2016,4,3,5,0.0623,11.7462
53,2016,4,3,6,0,11.4352
54,2016,4,3,7,0.3022,13.3045
55,2016,4,3,8,0.3997,14.7557
56,2016,4,3,9,0.7929,16.8012
