No,year,month,day,hour,Temperature
0,2019,4,1,1,6.8711
1,2019,4,1,2,6.1199
2,2019,4,1,3,5.5064
3,2019,4,1,4,5.2758
4,2019,4,1,5,5.5959
5,2019,4,1,6,4.9903
6,2019,4,1,7,5.4721
7,2019,4,1,8,7.3123
8,2019,4,1,9,9.4127
9,2019,4,1,10,11.2472
10,2019,4,1,11,12.7298
11,2019,4,1,12,14.0728
12,2019,4,1,13,14.9062
13,2019,4,1,14,15.682
14,2019,4,1,15,16.5277
15,2019,4,1,16,15.9527
16,2019,4,1,17,15.4183
17,2019,4,1,18,14.0408
18,2019,4,1,19,12.8223
19,2019,4,1,20,12.6335
20,2019,4,1,21,11.7057
21,2019,4,1,22,10.5095
22,2019,4,1,23,10.0442
23,2019,4,2,0,9.323
24,2019,4,2,1,8.5277
25,2019,4,2,2,7.3869
26,2019,4,2,3,7.0708
27,2019,4,2,4,6.5319
28,2019,4,2,5,5.8529
29,2019,4,2,6,4.6497
30,2019,4,2,7,5.5597
31,2019,4,2,8,8.2242
32,2019,4,2,9,10.5582
33,2019,4,2,10,12.426
34,2019,4,2,11,13.9035
35,2019,4,2,12,15.2263
36,2019,4,2,13,16.2995
37,2019,4,2,14,17.377
38,2019,4,2,15,18.0357
39,2019,4,2,16,18.6833
40,2019,4,2,17,18.834
41,2019,4,2,18,18.2913
42,2019,4,2,19,16.1818
43,2019,4,2,20,12.7998
44,2019,4,2,21,12.8567
45,2019,4,2,22,10.2073
46,2019,4,2,23,9.4325
47,2019,4,3,0,8.8938
48,2019,4,3,1,8.7307
49,2019,4,3,2,8.545
50,2019,4,3,3,8.2375
51,2019,4,3,4,7.9678
52,2019,4,3,5,7.7892
53,2019,4,3,6,7.9541
54,2019,4,3,7,8.9913
55,2019,4,3,8,12.424
56,2019,4,3,9,15.4405
57,2019,4,3,10,17.9817
58,2019,4,3,11,19.9927
59,2019,4,3,12,21.3185
60,2019,4,3,13,22.1058
61,2019,4,3,14,21.841
62,2019,4,3,15,21.1537
63,2019,4,3,16,20.9272
64,2019,4,3,17,19.7953
65,2019,4,3,18,19.7023
66,2019,4,3,19,19.1758
67,2019,4,3,20,18.2142
68,2019,4,3,21,18.2237
69,2019,4,3,22,17.9795
70,2019,4,3,23,18.1597
71,2019,4,4,0,18.3103
72,2019,4,4,1,18.271
73,2019,4,4,2,18.1783
74,2019,4,4,3,18.368
75,2019,4,4,4,18.7153
76,2019,4,4,5,18.468
77,2019,4,4,6,18.5315
78,2019,4,4,7,18.024
79,2019,4,4,8,18.613
80,2019,4,4,9,17.8958
81,2019,4,4,10,17.7405
82,2019,4,4,11,17.5438
83,2019,4,4,12,17.5318
84,2019,4,4,13,17.6588
85,2019,4,4,14,18.0037
86,2019,4,4,15,18.3393
87,2019,4,4,16,18.506
88,2019,4,4,17,18.3445
89,2019,4,4,18,18.1227
90,2019,4,4,19,17.6895
91,2019,4,4,20,17.6607
92,2019,4,4,21,17.8358
93,2019,4,4,22,17.8528
94,2019,4,4,23,18.009
95,2019,4,5,0,18.0755
96,2019,4,5,1,17.886
97,2019,4,5,2,17.9018
98,2019,4,5,3,17.8903
99,2019,4,5,4,17.6842
100,2019,4,5,5,17.6088
101,2019,4,5,6,17.6348
102,2019,4,5,7,17.7653
103,2019,4,5,8,18.0713
104,2019,4,5,9,18.6607
105,2019,4,5,10,19.1495
106,2019,4,5,11,20.0367
107,2019,4,5,12,21.235
108,2019,4,5,13,22.121
109,2019,4,5,14,23.3305
110,2019,4,5,15,23.9752
111,2019,4,5,16,24.2305
112,2019,4,5,17,24.219
113,2019,4,5,18,23.9782
114,2019,4,5,19,22.802
115,2019,4,5,20,22.1937
116,2019,4,5,21,21.7722
117,2019,4,5,22,21.6423
118,2019,4,5,23,21.3483
119,2019,4,6,0,20.6038
120,2019,4,6,1,20.177
121,2019,4,6,2,19.9298
122,2019,4,6,3,19.7737
123,2019,4,6,4,20.0572
124,2019,4,6,5,20.1653
125,2019,4,6,6,20.3022
126,2019,4,6,7,20.4972
127,2019,4,6,8,21.0705
128,2019,4,6,9,21.769
129,2019,4,6,10,23.039
130,2019,4,6,11,24.587
131,2019,4,6,12,25.6398
132,2019,4,6,13,25.9103
133,2019,4,6,14,26.4142
134,2019,4,6,15,26.249
135,2019,4,6,16,25.7305
136,2019,4,6,17,25.5185
137,2019,4,6,18,24.7282
138,2019,4,6,19,24.1482
139,2019,4,6,20,23.3662
140,2019,4,6,21,22.8905
141,2019,4,6,22,22.9178
142,2019,4,6,23,22.8815
143,2019,4,7,0,22.8148
144,2019,4,7,1,22.7385
145,2019,4,7,2,22.6215
146,2019,4,7,3,22.3202
147,2019,4,7,4,22.2473
148,2019,4,7,5,21.9813
149,2019,4,7,6,22.1533
150,2019,4,7,7,22.3815
151,2019,4,7,8,22.8992
152,2019,4,7,9,24.0318
153,2019,4,7,10,24.2227
154,2019,4,7,11,25.125
155,2019,4,7,12,24.2147
156,2019,4,7,13,23.9345
157,2019,4,7,14,24.1497
158,2019,4,7,15,23.8693
159,2019,4,7,16,22.2127
160,2019,4,7,17,19.0998
161,2019,4,7,18,18.9997
162,2019,4,7,19,19.0367
163,2019,4,7,20,18.8692
164,2019,4,7,21,19.0625
165,2019,4,7,22,19.0233
166,2019,4,7,23,18.9832
167,2019,4,8,0,18.8907
168,2019,4,8,1,18.6988
169,2019,4,8,2,18.4262
170,2019,4,8,3,18.4402
171,2019,4,8,4,18.7077
172,2019,4,8,5,18.9013
173,2019,4,8,6,19.1367
174,2019,4,8,7,19.0383
175,2019,4,8,8,19.293
176,2019,4,8,9,20.1498
177,2019,4,8,10,21.0085
178,2019,4,8,11,21.4803
179,2019,4,8,12,21.5747
180,2019,4,8,13,21.957
181,2019,4,8,14,20.4347
182,2019,4,8,15,20.7958
183,2019,4,8,16,20.2708
184,2019,4,8,17,19.719
185,2019,4,8,18,20.8375
186,2019,4,8,19,20.379
187,2019,4,8,20,19.6712
188,2019,4,8,21,19.2817
189,2019,4,8,22,18.7583
190,2019,4,8,23,18.4885
191,2019,4,9,0,18.0498
192,2019,4,9,1,17.5312
193,2019,4,9,2,16.8977
194,2019,4,9,3,16.6868
195,2019,4,9,4,17.2098
196,2019,4,9,5,16.4927
197,2019,4,9,6,16.3612
198,2019,4,9,7,17.0573
199,2019,4,9,8,18.503
200,2019,4,9,9,19.9668
201,2019,4,9,10,21.5627
202,2019,4,9,11,23.576
203,2019,4,9,12,24.9427
204,2019,4,9,13,25.9133
205,2019,4,9,14,27.097
206,2019,4,9,15,27.6753
207,2019,4,9,16,28.1002
208,2019,4,9,17,28.2328
209,2019,4,9,18,27.7893
210,2019,4,9,19,24.756
211,2019,4,9,20,20.9775
212,2019,4,9,21,19.6963
213,2019,4,9,22,18.9627
214,2019,4,9,23,18.3633
215,2019,4,10,0,17.7842
216,2019,4,10,1,17.4487
217,2019,4,10,2,17.1458
218,2019,4,10,3,16.7595
219,2019,4,10,4,16.1545
220,2019,4,10,5,15.9748
221,2019,4,10,6,16.3662
222,2019,4,10,7,18.5735
223,2019,4,10,8,21.2542
224,2019,4,10,9,23.3252
225,2019,4,10,10,25.2152
226,2019,4,10,11,26.3023
227,2019,4,10,12,27.1317
228,2019,4,10,13,27.6133
229,2019,4,10,14,27.9485
230,2019,4,10,15,27.8628
231,2019,4,10,16,27.4602
232,2019,4,10,17,26.9148
233,2019,4,10,18,25.6337
234,2019,4,10,19,23.6675
235,2019,4,10,20,22.2145
236,2019,4,10,21,21.5742
237,2019,4,10,22,21.1892
238,2019,4,10,23,21.1613
239,2019,4,11,0,20.9393
240,2019,4,11,1,20.7972
241,2019,4,11,2,20.6848
242,2019,4,11,3,20.5193
243,2019,4,11,4,20.3682
244,2019,4,11,5,20.0697
245,2019,4,11,6,20.219
246,2019,4,11,7,20.6995
247,2019,4,11,8,21.7158
248,2019,4,11,9,22.7918
249,2019,4,11,10,24.0458
250,2019,4,11,11,25.0825
251,2019,4,11,12,25.57
252,2019,4,11,13,25.427
253,2019,4,11,14,25.4925
254,2019,4,11,15,25.0772
255,2019,4,11,16,24.833
256,2019,4,11,17,24.493
257,2019,4,11,18,23.8143
258,2019,4,11,19,23.0343
259,2019,4,11,20,22.3755
260,2019,4,11,21,21.9615
261,2019,4,11,22,21.5837
262,2019,4,11,23,21.5037
263,2019,4,12,0,21.4465
264,2019,4,12,1,21.3175
265,2019,4,12,2,21.34
266,2019,4,12,3,20.8078
267,2019,4,12,4,17.6993
268,2019,4,12,5,16.7343
269,2019,4,12,6,16.3923
270,2019,4,12,7,16.66
271,2019,4,12,8,17.3673
272,2019,4,12,9,18.5975
273,2019,4,12,10,20.361
274,2019,4,12,11,22.0057
275,2019,4,12,12,23.7278
276,2019,4,12,13,23.858
277,2019,4,12,14,23.7268
278,2019,4,12,15,24.0935
279,2019,4,12,16,25.4423
280,2019,4,12,17,24.542
281,2019,4,12,18,20.7227
282,2019,4,12,19,19.5767
283,2019,4,12,20,18.9428
284,2019,4,12,21,18.7893
285,2019,4,12,22,18.9388
286,2019,4,12,23,19.4367
287,2019,4,13,0,19.8425
288,2019,4,13,1,20.2367
289,2019,4,13,2,21.9748
290,2019,4,13,3,22.4233
291,2019,4,13,4,22.4567
292,2019,4,13,5,22.6288
293,2019,4,13,6,23.1817
