,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1572018-10-0911:20:00,qh2-rcc157 ,2018-10-09 11:20:00,24.3,263.07,324724.04,471028.84,19.15,69.35,58.57,8965.83,8953.0,8927.33,8969.33,515639.0,449078.0,8.0,64.0,56.0,88.5,89.62,352.69,69.35
1,qh2-rcc1572018-10-0911:30:00,qh2-rcc157 ,2018-10-09 11:30:00,24.56,268.27,48796.62,155512.37,19.93,69.72,58.87,8979.83,9025.33,8927.33,9059.17,515639.0,449078.0,8.0,64.0,56.0,89.65,91.39,359.66,69.72
2,qh2-rcc1572018-10-0911:40:00,qh2-rcc157 ,2018-10-09 11:40:00,24.86,265.47,54418.36,438411.94,19.98,69.78,59.1,9003.17,8979.83,8939.0,9032.33,515639.0,449078.0,8.0,64.0,56.0,89.77,90.44,355.91,69.78
3,qh2-rcc1572018-10-0911:50:00,qh2-rcc157 ,2018-10-09 11:50:00,24.23,264.53,329377.94,424987.59,20.0,69.78,58.62,9003.17,8979.83,8950.67,9017.17,515639.0,449078.0,8.0,64.0,56.0,89.78,90.12,354.65,69.78
4,qh2-rcc1572018-10-0912:00:00,qh2-rcc157 ,2018-10-09 12:00:00,24.69,265.33,146706.41,270341.64,20.0,69.6,59.45,8984.5,8958.83,8930.83,9020.67,515639.0,449078.0,8.0,64.0,56.0,89.6,90.39,355.73,69.6
5,qh2-rcc1572018-10-0912:10:00,qh2-rcc157 ,2018-10-09 12:10:00,24.56,266.0,63592.44,222012.84,20.0,69.75,59.05,9075.5,9061.5,9018.33,9122.17,515639.0,449078.0,8.0,64.0,56.0,89.75,90.62,356.62,69.75
6,qh2-rcc1572018-10-0912:20:00,qh2-rcc157 ,2018-10-09 12:20:00,24.45,264.0,163093.52,562197.92,20.0,69.68,59.38,9004.33,8978.67,8957.67,9018.33,515639.0,449078.0,8.0,64.0,56.0,89.68,89.94,353.94,69.68
7,qh2-rcc1572018-10-0912:30:00,qh2-rcc157 ,2018-10-09 12:30:00,24.45,266.13,168187.67,305957.31,20.0,69.9,58.77,9069.67,9046.33,8997.33,9086.0,515639.0,449078.0,8.0,64.0,56.0,89.9,90.67,356.8,69.9
8,qh2-rcc1572018-10-0912:40:00,qh2-rcc157 ,2018-10-09 12:40:00,24.49,265.47,100594.29,329181.56,20.0,69.28,59.62,9032.33,9009.0,8979.83,9054.5,515639.0,449078.0,8.0,64.0,56.0,89.28,90.44,355.91,69.28
9,qh2-rcc1572018-10-0912:50:00,qh2-rcc157 ,2018-10-09 12:50:00,24.41,269.33,218725.39,257937.91,20.0,69.87,59.35,9075.5,9055.67,9014.83,9082.5,515639.0,449078.0,8.0,64.0,56.0,89.87,91.76,361.09,69.87
10,qh2-rcc1572018-10-0913:00:00,qh2-rcc157 ,2018-10-09 13:00:00,24.19,269.47,168612.52,286597.94,20.0,70.07,59.75,9025.33,8988.0,8953.0,9034.67,515639.0,449078.0,8.0,64.0,56.0,90.07,91.8,361.27,70.07
11,qh2-rcc1572018-10-0913:10:00,qh2-rcc157 ,2018-10-09 13:10:00,22.61,266.27,121149.06,236123.36,20.0,69.85,59.7,8964.67,8953.0,8916.83,8977.5,515639.0,449078.0,8.0,64.0,56.0,89.85,90.71,356.98,69.85
12,qh2-rcc1572018-10-0913:20:00,qh2-rcc157 ,2018-10-09 13:20:00,21.46,273.6,148769.54,480205.17,20.0,70.52,59.53,9055.67,9040.5,8984.5,9066.17,515639.0,449078.0,8.0,64.0,56.0,90.52,93.21,366.81,70.52
13,qh2-rcc1572018-10-0913:30:00,qh2-rcc157 ,2018-10-09 13:30:00,21.72,274.13,173791.84,308120.4,19.95,70.23,60.28,9046.33,9027.67,8977.5,9051.0,515639.0,449078.0,8.0,64.0,56.0,90.18,93.39,367.53,70.23
14,qh2-rcc1572018-10-0913:40:00,qh2-rcc157 ,2018-10-09 13:40:00,21.61,274.27,43164.27,308328.54,20.0,70.32,60.22,9032.33,9014.83,8978.67,9049.83,515639.0,449078.0,8.0,64.0,56.0,90.32,93.44,367.7,70.32
15,qh2-rcc1572018-10-0913:50:00,qh2-rcc157 ,2018-10-09 13:50:00,21.87,274.27,149464.75,340758.09,20.0,70.65,59.78,9031.17,9011.33,8982.17,9030.0,515639.0,449078.0,8.0,64.0,56.0,90.65,93.44,367.7,70.65
16,qh2-rcc1572018-10-0914:00:00,qh2-rcc157 ,2018-10-09 14:00:00,21.81,274.53,174201.52,327807.11,19.77,69.97,60.93,9088.33,9063.83,9035.83,9091.83,515639.0,449078.0,8.0,64.0,56.0,89.73,93.53,368.06,69.97
17,qh2-rcc1572018-10-0914:10:00,qh2-rcc157 ,2018-10-09 14:10:00,23.13,282.0,92657.54,243538.87,19.97,70.53,61.3,9053.33,9027.67,8993.83,9063.83,515639.0,449078.0,8.0,64.0,56.0,90.5,96.07,378.07,70.53
18,qh2-rcc1572018-10-0914:20:00,qh2-rcc157 ,2018-10-09 14:20:00,26.69,306.93,63010.54,302117.42,20.0,73.93,60.63,9429.0,9397.5,9378.83,9438.33,515639.0,449078.0,8.0,64.0,56.0,93.93,104.57,411.5,73.93
19,qh2-rcc1572018-10-0914:30:00,qh2-rcc157 ,2018-10-09 14:30:00,26.72,310.8,48365.46,867813.61,20.0,74.18,60.47,9447.67,9403.33,9408.0,9461.67,515639.0,449078.0,8.0,64.0,56.0,94.18,105.88,416.68,74.18
20,qh2-rcc1572018-10-0914:40:00,qh2-rcc157 ,2018-10-09 14:40:00,26.6,311.87,165810.87,888908.19,20.0,74.27,60.42,9469.83,9404.5,9399.83,9481.5,515639.0,449078.0,8.0,64.0,56.0,94.27,106.25,418.11,74.27
21,qh2-rcc1572018-10-0914:50:00,qh2-rcc157 ,2018-10-09 14:50:00,26.54,308.53,154961.57,958211.8,19.13,73.9,60.5,9409.17,9384.67,9366.0,9419.67,515639.0,449078.0,8.0,64.0,56.0,93.03,105.11,413.64,73.9
22,qh2-rcc1572018-10-0915:00:00,qh2-rcc157 ,2018-10-09 15:00:00,26.87,305.6,131889.08,308743.55,19.38,73.2,61.25,9370.67,9352.0,9329.83,9385.83,515639.0,449078.0,8.0,64.0,56.0,92.58,104.11,409.71,73.2
23,qh2-rcc1572018-10-0915:10:00,qh2-rcc157 ,2018-10-09 15:10:00,26.28,300.4,138920.97,634339.79,19.3,72.52,60.5,9306.5,9277.33,9241.17,9306.5,515639.0,449078.0,8.0,64.0,56.0,91.82,102.34,402.74,72.52
24,qh2-rcc1572018-10-0915:20:00,qh2-rcc157 ,2018-10-09 15:20:00,26.56,304.0,164907.12,318328.49,19.08,73.25,60.58,9311.17,9300.67,9236.5,9334.5,515639.0,449078.0,8.0,64.0,56.0,92.33,103.57,407.57,73.25
25,qh2-rcc1572018-10-0915:30:00,qh2-rcc157 ,2018-10-09 15:30:00,26.7,304.0,156111.04,130150.08,19.57,72.88,60.35,9360.17,9343.83,9300.67,9377.67,515639.0,449078.0,8.0,64.0,56.0,92.45,103.57,407.57,72.88
26,qh2-rcc1572018-10-0915:40:00,qh2-rcc157 ,2018-10-09 15:40:00,26.72,304.0,216265.34,312416.6,19.13,72.58,60.05,9322.83,9308.83,9244.67,9321.67,515639.0,449078.0,8.0,64.0,56.0,91.72,103.57,407.57,72.58
27,qh2-rcc1572018-10-0915:50:00,qh2-rcc157 ,2018-10-09 15:50:00,33.31,324.13,3129645.88,517508.69,19.77,74.15,60.93,9886.33,9864.17,9812.83,9892.17,515639.0,449078.0,8.0,64.0,56.0,93.92,110.43,434.56,74.15
28,qh2-rcc1572018-10-0916:00:00,qh2-rcc157 ,2018-10-09 16:00:00,34.45,327.2,2406499.26,574745.32,20.0,74.03,60.37,10048.5,10024.0,9996.0,10054.33,515639.0,355898.78,8.0,64.0,56.0,94.03,111.47,438.67,74.03
29,qh2-rcc1572018-10-0916:10:00,qh2-rcc157 ,2018-10-09 16:10:00,34.24,328.67,1016304.49,808329.15,20.07,74.17,60.52,10038.0,10003.0,9956.33,10043.83,515639.0,430061.83,8.0,64.0,56.0,94.23,111.97,440.64,74.17
