No,year,month,day,hour,Speed,Temperature
0,2016,4,1,1,1.9137,10.9573
1,2016,4,1,2,1.7072,10.2847
2,2016,4,1,3,1.9022,10.5842
3,2016,4,1,4,2.5548,10.5158
4,2016,4,1,5,1.5711,9.5818
5,2016,4,1,6,1.9884,8.6962
6,2016,4,1,7,1.5104,8.708
7,2016,4,1,8,1.0722,10.0442
8,2016,4,1,9,1.1527,12.857
9,2016,4,1,10,0.6884,15.6653
10,2016,4,1,11,1.3344,18.2783
11,2016,4,1,12,1.3509,19.8467
12,2016,4,1,13,2.4512,22.1093
13,2016,4,1,14,4.1362,22.702
14,2016,4,1,15,4.3981,23.0075
15,2016,4,1,16,4.3669,23.24
16,2016,4,1,17,4.3707,23.051
17,2016,4,1,18,5.9118,22.2018
18,2016,4,1,19,4.9172,20.8468
19,2016,4,1,20,3.9314,19.5778
20,2016,4,1,21,3.0627,18.5878
21,2016,4,1,22,3.3557,17.9845
22,2016,4,1,23,0.646,16.8713
23,2016,4,2,0,1.4927,15.97
24,2016,4,2,1,0.8571,13.5712
25,2016,4,2,2,1.8683,12.7632
26,2016,4,2,3,1.4389,12.0375
27,2016,4,2,4,0.7206,12.5922
28,2016,4,2,5,0.5213,11.8782
29,2016,4,2,6,1.5988,11.3607
30,2016,4,2,7,2.2161,9.4952
31,2016,4,2,8,1.2644,12.0478
32,2016,4,2,9,1.2635,16.7735
33,2016,4,2,10,1.5687,19.7157
34,2016,4,2,11,1.9583,21.6848
35,2016,4,2,12,2.135,23.3667
36,2016,4,2,13,1.9462,24.4245
37,2016,4,2,14,2.1737,24.9692
38,2016,4,2,15,1.6845,25.731
39,2016,4,2,16,1.5995,26.3648
40,2016,4,2,17,1.3966,26.7743
41,2016,4,2,18,1.1996,26.293
42,2016,4,2,19,2.0859,24.3592
43,2016,4,2,20,2.652,22.9582
44,2016,4,2,21,3.9599,21.7668
45,2016,4,2,22,2.9985,21.1452
46,2016,4,2,23,2.2179,19.2067
47,2016,4,3,0,2.6319,19.5775
48,2016,4,3,1,1.5335,17.7207
49,2016,4,3,2,2.5647,17.4503
50,2016,4,3,3,1.3361,17.0117
51,2016,4,3,4,1.4034,15.1987
