No,year,month,day,hour,Speed,Temperature
0,2019,4,1,1,1.095,6.8711
1,2019,4,1,2,0.6246,6.1199
2,2019,4,1,3,0.6628,5.5064
3,2019,4,1,4,1.5369,5.2758
4,2019,4,1,5,1.9647,5.5959
5,2019,4,1,6,1.5516,4.9903
6,2019,4,1,7,1.9958,5.4721
7,2019,4,1,8,3.4519,7.3123
8,2019,4,1,9,3.4909,9.4127
9,2019,4,1,10,3.1247,11.2472
10,2019,4,1,11,2.5984,12.7298
11,2019,4,1,12,2.4614,14.0728
12,2019,4,1,13,2.8858,14.9062
13,2019,4,1,14,3.5472,15.682
14,2019,4,1,15,3.6676,16.5277
15,2019,4,1,16,3.4123,15.9527
16,2019,4,1,17,3.0436,15.4183
17,2019,4,1,18,4.5351,14.0408
18,2019,4,1,19,3.145,12.8223
19,2019,4,1,20,2.1884,12.6335
20,2019,4,1,21,1.6323,11.7057
21,2019,4,1,22,1.6011,10.5095
22,2019,4,1,23,2.1501,10.0442
23,2019,4,2,0,1.5432,9.323
24,2019,4,2,1,1.2168,8.5277
25,2019,4,2,2,0.6588,7.3869
26,2019,4,2,3,1.0858,7.0708
27,2019,4,2,4,0.7717,6.5319
28,2019,4,2,5,0.5026,5.8529
29,2019,4,2,6,0.1013,4.6497
30,2019,4,2,7,0.57,5.5597
31,2019,4,2,8,2.0321,8.2242
32,2019,4,2,9,2.6933,10.5582
33,2019,4,2,10,2.5668,12.426
34,2019,4,2,11,2.192,13.9035
35,2019,4,2,12,2.9585,15.2263
36,2019,4,2,13,2.4301,16.2995
37,2019,4,2,14,2.3105,17.377
38,2019,4,2,15,2.3059,18.0357
39,2019,4,2,16,2.6103,18.6833
40,2019,4,2,17,2.896,18.834
41,2019,4,2,18,2.3078,18.2913
42,2019,4,2,19,0.5191,16.1818
43,2019,4,2,20,0.0227,12.7998
44,2019,4,2,21,0.3336,12.8567
45,2019,4,2,22,0,10.2073
46,2019,4,2,23,0.0145,9.4325
47,2019,4,3,0,0,8.8938
48,2019,4,3,1,0,8.7307
49,2019,4,3,2,0,8.545
50,2019,4,3,3,0,8.2375
51,2019,4,3,4,0,7.9678
52,2019,4,3,5,0.0356,7.7892
53,2019,4,3,6,0,7.9541
54,2019,4,3,7,0.0172,8.9913
55,2019,4,3,8,1.4991,12.424
56,2019,4,3,9,2.8591,15.4405
57,2019,4,3,10,2.8587,17.9817
58,2019,4,3,11,2.8908,19.9927
59,2019,4,3,12,2.9196,21.3185
60,2019,4,3,13,2.4699,22.1058
61,2019,4,3,14,2.4972,21.841
62,2019,4,3,15,2.631,21.1537
63,2019,4,3,16,2.9926,20.9272
64,2019,4,3,17,2.7428,19.7953
65,2019,4,3,18,2.2913,19.7023
66,2019,4,3,19,1.7735,19.1758
67,2019,4,3,20,1.6539,18.2142
68,2019,4,3,21,2.2827,18.2237
69,2019,4,3,22,2.675,17.9795
70,2019,4,3,23,2.971,18.1597
71,2019,4,4,0,2.429,18.3103
72,2019,4,4,1,2.5808,18.271
73,2019,4,4,2,2.29,18.1783
74,2019,4,4,3,2.6635,18.368
75,2019,4,4,4,3.2175,18.7153
76,2019,4,4,5,2.1022,18.468
77,2019,4,4,6,1.8472,18.5315
78,2019,4,4,7,3.9032,18.024
79,2019,4,4,8,3.3517,18.613
80,2019,4,4,9,1.9974,17.8958
81,2019,4,4,10,3.3852,17.7405
82,2019,4,4,11,2.7696,17.5438
83,2019,4,4,12,2.8621,17.5318
84,2019,4,4,13,1.9449,17.6588
85,2019,4,4,14,2.7994,18.0037
86,2019,4,4,15,2.6788,18.3393
87,2019,4,4,16,2.631,18.506
88,2019,4,4,17,2.7038,18.3445
89,2019,4,4,18,2.2877,18.1227
90,2019,4,4,19,2.4965,17.6895
91,2019,4,4,20,2.3754,17.6607
92,2019,4,4,21,1.8807,17.8358
93,2019,4,4,22,1.671,17.8528
94,2019,4,4,23,1.4597,18.009
95,2019,4,5,0,1.2736,18.0755
96,2019,4,5,1,1.0446,17.886
97,2019,4,5,2,1.0557,17.9018
98,2019,4,5,3,1.1269,17.8903
99,2019,4,5,4,1.4143,17.6842
100,2019,4,5,5,0.953,17.6088
101,2019,4,5,6,1.2276,17.6348
102,2019,4,5,7,0.6713,17.7653
103,2019,4,5,8,1.3417,18.0713
104,2019,4,5,9,1.3184,18.6607
105,2019,4,5,10,1.3495,19.1495
106,2019,4,5,11,2.2619,20.0367
107,2019,4,5,12,2.1222,21.235
108,2019,4,5,13,2.6908,22.121
109,2019,4,5,14,2.8187,23.3305
110,2019,4,5,15,2.5247,23.9752
111,2019,4,5,16,2.2725,24.2305
112,2019,4,5,17,2.1254,24.219
113,2019,4,5,18,1.938,23.9782
114,2019,4,5,19,0.3805,22.802
115,2019,4,5,20,0.5806,22.1937
116,2019,4,5,21,0.2703,21.7722
117,2019,4,5,22,0.9015,21.6423
118,2019,4,5,23,0.3162,21.3483
119,2019,4,6,0,0.1087,20.6038
120,2019,4,6,1,0.5158,20.177
121,2019,4,6,2,0.3465,19.9298
122,2019,4,6,3,0.5735,19.7737
123,2019,4,6,4,1.2116,20.0572
124,2019,4,6,5,1.0237,20.1653
125,2019,4,6,6,1.0823,20.3022
126,2019,4,6,7,1.3767,20.4972
127,2019,4,6,8,1.8698,21.0705
128,2019,4,6,9,2.2906,21.769
129,2019,4,6,10,2.069,23.039
130,2019,4,6,11,2.8327,24.587
131,2019,4,6,12,2.995,25.6398
132,2019,4,6,13,2.9257,25.9103
133,2019,4,6,14,3.6182,26.4142
134,2019,4,6,15,3.2851,26.249
135,2019,4,6,16,3.2571,25.7305
136,2019,4,6,17,2.9835,25.5185
137,2019,4,6,18,2.4327,24.7282
138,2019,4,6,19,2.3379,24.1482
139,2019,4,6,20,2.1179,23.3662
140,2019,4,6,21,2.0797,22.8905
141,2019,4,6,22,2.0465,22.9178
142,2019,4,6,23,1.8688,22.8815
143,2019,4,7,0,1.724,22.8148
144,2019,4,7,1,1.4518,22.7385
145,2019,4,7,2,1.2784,22.6215
146,2019,4,7,3,1.3942,22.3202
147,2019,4,7,4,1.5843,22.2473
148,2019,4,7,5,2.1338,21.9813
149,2019,4,7,6,2.6042,22.1533
150,2019,4,7,7,2.2326,22.3815
151,2019,4,7,8,2.3007,22.8992
152,2019,4,7,9,3.098,24.0318
153,2019,4,7,10,2.3055,24.2227
154,2019,4,7,11,3.2187,25.125
155,2019,4,7,12,3.9063,24.2147
156,2019,4,7,13,3.287,23.9345
157,2019,4,7,14,3.7584,24.1497
158,2019,4,7,15,3.3006,23.8693
159,2019,4,7,16,4.115,22.2127
160,2019,4,7,17,3.205,19.0998
161,2019,4,7,18,2.0219,18.9997
162,2019,4,7,19,1.0652,19.0367
163,2019,4,7,20,1.2005,18.8692
164,2019,4,7,21,0.8007,19.0625
165,2019,4,7,22,0.793,19.0233
166,2019,4,7,23,0.9609,18.9832
167,2019,4,8,0,2.2369,18.8907
168,2019,4,8,1,1.9936,18.6988
169,2019,4,8,2,1.5614,18.4262
170,2019,4,8,3,2.0285,18.4402
171,2019,4,8,4,2.1669,18.7077
172,2019,4,8,5,1.2013,18.9013
173,2019,4,8,6,0.5753,19.1367
174,2019,4,8,7,1.7245,19.0383
175,2019,4,8,8,2.7402,19.293
176,2019,4,8,9,2.8706,20.1498
177,2019,4,8,10,3.3477,21.0085
178,2019,4,8,11,2.8563,21.4803
179,2019,4,8,12,2.5225,21.5747
180,2019,4,8,13,2.8,21.957
181,2019,4,8,14,2.5556,20.4347
182,2019,4,8,15,3.3485,20.7958
183,2019,4,8,16,4.229,20.2708
184,2019,4,8,17,3.1256,19.719
185,2019,4,8,18,4.0034,20.8375
186,2019,4,8,19,3.6262,20.379
187,2019,4,8,20,2.696,19.6712
188,2019,4,8,21,1.3126,19.2817
189,2019,4,8,22,1.1438,18.7583
190,2019,4,8,23,1.464,18.4885
191,2019,4,9,0,1.0628,18.0498
192,2019,4,9,1,0.5685,17.5312
193,2019,4,9,2,0.0696,16.8977
194,2019,4,9,3,0.1775,16.6868
195,2019,4,9,4,1.0276,17.2098
196,2019,4,9,5,0.1235,16.4927
197,2019,4,9,6,0.3165,16.3612
198,2019,4,9,7,1.4128,17.0573
199,2019,4,9,8,2.2431,18.503
200,2019,4,9,9,2.4462,19.9668
201,2019,4,9,10,1.8387,21.5627
202,2019,4,9,11,1.1389,23.576
203,2019,4,9,12,1.6051,24.9427
204,2019,4,9,13,2.5333,25.9133
205,2019,4,9,14,3.2227,27.097
206,2019,4,9,15,3.1317,27.6753
207,2019,4,9,16,2.6984,28.1002
208,2019,4,9,17,2.7085,28.2328
209,2019,4,9,18,1.4697,27.7893
210,2019,4,9,19,0.1598,24.756
211,2019,4,9,20,0.0676,20.9775
212,2019,4,9,21,0,19.6963
213,2019,4,9,22,0,18.9627
214,2019,4,9,23,0.1015,18.3633
215,2019,4,10,0,0,17.7842
216,2019,4,10,1,0,17.4487
217,2019,4,10,2,0,17.1458
218,2019,4,10,3,0,16.7595
219,2019,4,10,4,0,16.1545
220,2019,4,10,5,0,15.9748
221,2019,4,10,6,0.0307,16.3662
222,2019,4,10,7,0.195,18.5735
223,2019,4,10,8,0.7643,21.2542
224,2019,4,10,9,1.4303,23.3252
225,2019,4,10,10,1.4681,25.2152
226,2019,4,10,11,1.9477,26.3023
227,2019,4,10,12,2.1808,27.1317
228,2019,4,10,13,2.2937,27.6133
229,2019,4,10,14,2.5795,27.9485
230,2019,4,10,15,2.6649,27.8628
231,2019,4,10,16,2.8084,27.4602
232,2019,4,10,17,2.5897,26.9148
233,2019,4,10,18,1.9777,25.6337
234,2019,4,10,19,1.4162,23.6675
235,2019,4,10,20,1.0174,22.2145
236,2019,4,10,21,1.445,21.5742
237,2019,4,10,22,1.7357,21.1892
238,2019,4,10,23,1.8777,21.1613
239,2019,4,11,0,1.8782,20.9393
240,2019,4,11,1,1.8727,20.7972
241,2019,4,11,2,1.6729,20.6848
242,2019,4,11,3,1.9347,20.5193
243,2019,4,11,4,2.0951,20.3682
244,2019,4,11,5,1.8941,20.0697
245,2019,4,11,6,2.6519,20.219
246,2019,4,11,7,2.6503,20.6995
247,2019,4,11,8,1.9855,21.7158
248,2019,4,11,9,2.5873,22.7918
249,2019,4,11,10,2.9925,24.0458
250,2019,4,11,11,2.8409,25.0825
251,2019,4,11,12,3.1892,25.57
252,2019,4,11,13,3.47,25.427
