,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max,RAM_Load
0,qh2-rcc1202018-10-0911:20:00,qh2-rcc120 ,2018/10/9 11:20,3.47,90.53,408343.34,147737.95,16.97,37.08,36.72,7502.83,7571.67,7500.5,7462,515639,301622,15,64,63,54.05,39.28,129.81,37.08,58.49479966
1,qh2-rcc1202018-10-0911:30:00,qh2-rcc120 ,2018/10/9 11:30,3.62,88.93,44589.41,202395.92,17,37.78,37.08,7141.17,7182,7147,7113.17,515639,301622,15,64,63,54.78,38.58,127.52,37.78,58.49479966
2,qh2-rcc1202018-10-0911:40:00,qh2-rcc120 ,2018/10/9 11:40,3.41,88.8,40146.87,157905.96,17,38.23,37.47,6728.17,6802.83,6743.33,6729.33,515639,301622,15,64,63,55.23,38.53,127.33,38.23,58.49479966
3,qh2-rcc1202018-10-0911:50:00,qh2-rcc120 ,2018/10/9 11:50,3.33,89.87,441692.39,142941.03,17,38.18,37.55,6813.33,6856.5,6808.67,6771.33,515639,301622,15,64,63,55.18,38.99,128.85,38.18,58.49479966
4,qh2-rcc1202018-10-0912:00:00,qh2-rcc120 ,2018/10/9 12:00,3.36,89.6,422057.82,770341.89,16.95,37.42,36.87,7390.83,7445.67,7401.33,7351.17,515639,301622,15,64,63,54.37,38.87,128.47,37.42,58.49479966
5,qh2-rcc1202018-10-0912:10:00,qh2-rcc120 ,2018/10/9 12:10,3.61,88,41317.4,209986.9,17,36.63,36.63,7670.83,7707,7687.17,7607.83,515639,301622,15,64,63,53.63,38.18,126.18,36.63,58.49479966
6,qh2-rcc1202018-10-0912:20:00,qh2-rcc120 ,2018/10/9 12:20,4.32,93.07,339255.28,301362.56,16.9,37.37,37.32,7375.67,7418.83,7365.17,7366.33,515639,301622,15,64,63,54.27,40.38,133.44,37.37,58.49479966
7,qh2-rcc1202018-10-0912:30:00,qh2-rcc120 ,2018/10/9 12:30,6.52,103.07,1839193.24,162519.24,17,39.85,39.45,7241.5,7267.17,7252,7205.33,515639,301622,15,64,63,56.85,44.72,147.78,39.85,58.49479966
8,qh2-rcc1202018-10-0912:40:00,qh2-rcc120 ,2018/10/9 12:40,3.48,88.53,41986.12,173693.17,17,37.07,36.3,7702.33,7735,7707,7623,515639,301622,15,64,63,54.07,38.41,126.94,37.07,58.49479966
9,qh2-rcc1202018-10-0912:50:00,qh2-rcc120 ,2018/10/9 12:50,3.65,89.07,403513.11,174107.76,17,36.97,36.73,7567,7644,7555.33,7547.17,515639,301622,15,64,63,53.97,38.64,127.71,36.97,58.49479966
10,qh2-rcc1202018-10-0913:00:00,qh2-rcc120 ,2018/10/9 13:00,3.89,89.2,401210.49,163147.1,17,37.78,36.82,7231,7299.83,7242.67,7205.33,515639,301622,15,64,63,54.78,38.7,127.9,37.78,58.49479966
11,qh2-rcc1202018-10-0913:10:00,qh2-rcc120 ,2018/10/9 13:10,3.57,88,96171.25,161498.35,17,37.18,36.25,7519.17,7557.67,7533.17,7457.33,515639,301622,15,64,63,54.18,38.18,126.18,37.18,58.49479966
12,qh2-rcc1202018-10-0913:20:00,qh2-rcc120 ,2018/10/9 13:20,3.83,89.07,382718.37,272809.45,17,37.05,36.65,7533.17,7585.67,7525,7498.17,515639,301622,15,64,63,54.05,38.64,127.71,37.05,58.49479966
13,qh2-rcc1202018-10-0913:30:00,qh2-rcc120 ,2018/10/9 13:30,3.7,88.53,438597.27,160982.37,17,36.97,36.3,7451.5,7568.17,7459.67,7428.17,515639,301622,15,64,63,53.97,38.41,126.94,36.97,58.49479966
14,qh2-rcc1202018-10-0913:40:00,qh2-rcc120 ,2018/10/9 13:40,4.33,88.93,43732.96,186681.62,17,37.02,36.67,7535.5,7543.67,7530.83,7439.83,515639,301622,15,64,63,54.02,38.58,127.52,37.02,58.49479966
15,qh2-rcc1202018-10-0913:50:00,qh2-rcc120 ,2018/10/9 13:50,4.29,90.27,428093.21,169672.32,16.95,37.3,36.73,7504,7536.67,7504,7443.33,515639,301622,15,64,63,54.25,39.16,129.43,37.3,58.49479966
16,qh2-rcc1202018-10-0914:00:00,qh2-rcc120 ,2018/10/9 14:00,3.6,88.27,437134.49,249890.3,17,37.68,36.88,7421.17,7436.33,7408.33,7350,515639,301622,15,64,63,54.68,38.29,126.56,37.68,58.49479966
17,qh2-rcc1202018-10-0914:10:00,qh2-rcc120 ,2018/10/9 14:10,3.89,88,43098.42,171801.75,17,37.08,36.73,7500.5,7555.33,7487.67,7455,515639,301622,15,64,63,54.08,38.18,126.18,37.08,58.49479966
18,qh2-rcc1202018-10-0914:20:00,qh2-rcc120 ,2018/10/9 14:20,3.78,90.4,42887.91,177257.08,17,37.33,36.9,7449.17,7483,7469,7392,515639,301622,15,64,63,54.33,39.22,129.62,37.33,58.49479966
19,qh2-rcc1202018-10-0914:30:00,qh2-rcc120 ,2018/10/9 14:30,3.81,89.87,44502.05,191291.38,17,37.02,36.2,7592.67,7618.33,7581,7500.5,515639,169515.55,15,64,63,54.02,38.99,128.85,37.02,32.87485043
20,qh2-rcc1202018-10-0914:40:00,qh2-rcc120 ,2018/10/9 14:40,3.98,88.93,400848.52,273253.54,17,36.85,36.57,7609,7666.17,7618.33,7576.33,515639,139859,15,64,63,53.85,38.58,127.52,36.85,27.12343325
