,Id,Series,Time,CPU_Load,Power,Network_RX,Network_TX,Inlet_Temperature,CPU1_Temperature,CPU2_Temperature,Fan_speed1,Fan_speed2,Fan_speed3,Fan_speed4,Ram,Ram_Used,No_Of_Running_vms,CPU_cores,CPU_cores_used,Ambient_Temperature,Cooling_Power,Total_Power,CPU_Temp_Max
0,qh2-rcc1272018-10-0911:20:00,qh2-rcc127 ,2018-10-09 11:20:00,2.22,85.33,44546458.25,20094691.29,15.97,37.1,31.93,8683.5,8751.17,8725.5,8775.67,515639.0,283958.0,8.0,64.0,64.0,53.07,37.44,122.77,37.1
1,qh2-rcc1272018-10-0911:30:00,qh2-rcc127 ,2018-10-09 11:30:00,1.47,84.13,34603478.24,22296644.26,16.0,37.67,31.87,8618.17,8669.5,8662.5,8687.0,515639.0,283958.0,8.0,64.0,64.0,53.67,36.91,121.05,37.67
2,qh2-rcc1272018-10-0911:40:00,qh2-rcc127 ,2018-10-09 11:40:00,2.29,81.47,24927752.81,18169305.83,16.0,37.05,31.42,8660.17,8719.67,8723.17,8771.0,515639.0,283958.0,8.0,64.0,64.0,53.05,35.74,117.21,37.05
3,qh2-rcc1272018-10-0911:50:00,qh2-rcc127 ,2018-10-09 11:50:00,1.94,84.4,25620284.34,20853290.88,16.0,37.43,31.78,8558.67,8608.83,8612.33,8654.33,515639.0,283958.0,8.0,64.0,64.0,53.43,37.03,121.43,37.43
4,qh2-rcc1272018-10-0912:00:00,qh2-rcc127 ,2018-10-09 12:00:00,1.8,84.4,48826225.1,11164330.02,15.78,37.47,31.6,8614.67,8643.83,8661.33,8675.33,515639.0,283958.0,8.0,64.0,64.0,53.25,37.03,121.43,37.47
5,qh2-rcc1272018-10-0912:10:00,qh2-rcc127 ,2018-10-09 12:10:00,1.52,82.53,28547021.52,15715677.49,16.0,37.43,31.9,8542.33,8596.0,8594.83,8640.33,515639.0,283958.0,8.0,64.0,64.0,53.43,36.21,118.74,37.43
6,qh2-rcc1272018-10-0912:20:00,qh2-rcc127 ,2018-10-09 12:20:00,1.94,83.2,27105284.98,21693969.66,15.9,37.1,31.72,8773.33,8806.0,8831.67,8846.83,515639.0,283958.0,8.0,64.0,64.0,53.0,36.5,119.7,37.1
7,qh2-rcc1272018-10-0912:30:00,qh2-rcc127 ,2018-10-09 12:30:00,1.18,81.73,12047614.27,21278529.5,16.0,37.2,31.85,8699.83,8740.67,8760.5,8774.5,515639.0,283958.0,8.0,64.0,64.0,53.2,35.86,117.59,37.2
8,qh2-rcc1272018-10-0912:40:00,qh2-rcc127 ,2018-10-09 12:40:00,1.85,80.27,8360771.94,25266219.01,16.0,37.25,31.9,8519.0,8572.67,8568.0,8625.17,515639.0,283958.0,8.0,64.0,64.0,53.25,35.22,115.48,37.25
9,qh2-rcc1272018-10-0912:50:00,qh2-rcc127 ,2018-10-09 12:50:00,2.08,85.73,54693213.43,16961630.82,16.0,37.78,32.13,8527.17,8569.17,8575.0,8607.67,515639.0,283958.0,8.0,64.0,64.0,53.78,37.61,123.35,37.78
10,qh2-rcc1272018-10-0913:00:00,qh2-rcc127 ,2018-10-09 13:00:00,2.27,87.33,43772039.64,21947273.08,16.0,38.12,32.2,8206.33,8269.33,8268.17,8284.5,515639.0,283958.0,8.0,64.0,64.0,54.12,38.32,125.65,38.12
11,qh2-rcc1272018-10-0913:10:00,qh2-rcc127 ,2018-10-09 13:10:00,1.74,83.6,34485911.71,18627608.96,16.0,38.12,32.32,8227.33,8296.17,8284.5,8319.5,515639.0,283958.0,8.0,64.0,64.0,54.12,36.68,120.28,38.12
12,qh2-rcc1272018-10-0913:20:00,qh2-rcc127 ,2018-10-09 13:20:00,3.22,84.4,34345262.65,20964203.76,16.0,37.93,31.93,8416.33,8451.33,8467.67,8479.33,515639.0,283958.0,8.0,64.0,64.0,53.93,37.03,121.43,37.93
13,qh2-rcc1272018-10-0913:30:00,qh2-rcc127 ,2018-10-09 13:30:00,1.77,84.27,38297672.02,18356599.7,16.0,37.18,32.07,8379.0,8421.0,8433.83,8464.17,515639.0,283958.0,8.0,64.0,64.0,53.18,36.97,121.24,37.18
14,qh2-rcc1272018-10-0913:40:00,qh2-rcc127 ,2018-10-09 13:40:00,1.82,84.93,43786526.67,17876605.25,16.0,37.82,32.0,8321.83,8396.5,8375.5,8418.67,515639.0,283958.0,8.0,64.0,64.0,53.82,37.26,122.2,37.82
